Timestamp,AC_Power,Inverter_Status,AC_Current,AC_Voltage,AC_Frequency,DC_Current,DC_Voltage
2022-01-01 09:20:00,125.17,4.0,0.63,204.38,59.99,0.42,386.48
2022-01-01 09:25:00,143.87,4.0,0.72,204.64,59.99,0.46,389.15
2022-01-01 09:30:00,162.7,4.0,0.81,204.49,59.99,0.5,390.88
2022-01-01 09:35:00,148.77,4.0,0.74,204.38,59.99,0.46,388.9
2022-01-01 09:50:00,138.53,4.0,0.69,204.55,60.0,0.44,387.48
2022-01-01 09:55:00,184.37,4.0,0.91,204.38,59.99,0.54,393.19
2022-01-01 10:00:00,209.37,4.0,1.04,204.3,59.97,0.6,394.03
2022-01-01 10:05:00,249.93,4.0,1.23,204.59,59.98,0.7,397.65
2022-01-01 10:10:00,261.2,4.0,1.29,204.6,60.0,0.74,397.98
2022-01-01 10:15:00,246.9,4.0,1.22,204.62,60.0,0.7,397.28
2022-01-01 10:20:00,246.33,4.0,1.22,204.3,59.98,0.7,396.98
2022-01-01 10:25:00,258.97,4.0,1.28,204.68,59.99,0.74,397.12
2022-01-01 10:30:00,226.5,4.0,1.12,204.77,59.99,0.66,395.21
2022-01-01 10:35:00,192.07,4.0,0.95,204.59,60.0,0.58,389.28
2022-01-01 10:40:00,162.1,4.0,0.8,204.58,59.99,0.5,388.63
2022-01-01 10:45:00,136.3,4.0,0.68,204.67,59.99,0.44,387.05
2022-01-01 10:50:00,151.23,4.0,0.75,204.41,59.99,0.48,387.44
2022-01-01 10:55:00,285.13,4.0,1.4,204.55,60.01,0.8,400.08
2022-01-01 11:00:00,370.43,4.0,1.82,204.32,59.99,1.0,405.18
2022-01-01 11:05:00,421.8,4.0,2.07,204.45,59.99,1.12,406.9
2022-01-01 11:10:00,394.9,4.0,1.94,204.3,59.98,1.06,406.3
2022-01-01 11:15:00,308.67,4.0,1.52,204.22,59.97,0.86,399.45
2022-01-01 11:20:00,298.1,4.0,1.47,204.65,59.99,0.84,398.15
2022-01-01 11:25:00,316.47,4.0,1.55,205.66,59.99,0.88,400.83
2022-01-01 11:30:00,427.83,4.0,2.09,205.7,59.99,1.14,407.34
2022-01-01 11:35:00,384.53,4.0,1.88,205.81,60.0,1.04,404.97
2022-01-01 11:40:00,402.5,4.0,1.97,205.72,60.0,1.08,406.21
2022-01-01 11:45:00,407.37,4.0,1.99,205.72,59.99,1.08,405.6
2022-01-01 11:50:00,410.4,4.0,2.0,205.8,60.0,1.1,404.73
2022-01-01 11:55:00,463.63,4.0,2.27,205.76,60.0,1.22,407.36
2022-01-01 12:00:00,426.37,4.0,2.09,205.46,60.0,1.14,405.4
2022-01-01 12:05:00,594.03,4.0,2.9,205.75,59.99,1.54,412.59
2022-01-01 12:10:00,570.93,4.0,2.78,205.87,59.98,1.48,409.63
2022-01-01 12:15:00,430.3,4.0,2.1,205.53,59.99,1.14,405.44
2022-01-01 12:20:00,335.1,4.0,1.64,205.5,60.0,0.92,399.09
2022-01-01 12:25:00,251.8,4.0,1.24,205.53,60.01,0.72,394.64
2022-01-01 12:30:00,266.23,4.0,1.3,205.42,60.0,0.76,396.18
2022-01-01 12:35:00,279.9,4.0,1.37,205.35,60.0,0.8,396.33
2022-01-01 12:40:00,253.03,4.0,1.24,205.45,60.0,0.72,394.06
2022-01-01 12:45:00,357.07,4.0,1.75,205.51,60.01,0.98,402.97
2022-01-01 12:50:00,414.57,4.0,2.02,205.67,60.01,1.1,405.9
2022-01-01 12:55:00,303.97,4.0,1.49,205.48,60.01,0.84,399.72
2022-01-01 13:00:00,317.43,4.0,1.56,205.45,60.01,0.88,400.12
2022-01-01 13:05:00,531.63,4.0,2.59,205.86,60.0,1.4,410.99
2022-01-01 13:10:00,555.0,4.0,2.71,205.72,60.01,1.44,411.25
2022-01-01 13:15:00,675.9,4.0,3.29,205.99,60.0,1.72,413.96
2022-01-01 13:20:00,1118.07,4.0,5.43,206.28,60.0,2.78,419.82
2022-01-01 13:25:00,415.23,4.0,2.02,206.04,60.0,1.12,400.14
2022-01-01 13:30:00,387.57,4.0,1.89,205.83,60.0,1.06,400.64
2022-01-01 13:35:00,455.83,4.0,2.22,205.83,60.01,1.22,403.95
2022-01-01 13:40:00,502.8,4.0,2.45,205.78,60.0,1.34,405.51
2022-01-01 13:45:00,454.77,4.0,2.22,205.79,60.0,1.22,402.67
2022-01-01 13:50:00,384.9,4.0,1.88,205.84,60.0,1.06,398.62
2022-01-01 13:55:00,297.03,4.0,1.46,205.75,59.99,0.84,394.07
2022-01-01 14:00:00,290.13,4.0,1.42,205.82,60.0,0.82,395.0
2022-01-01 14:05:00,237.53,4.0,1.17,205.71,60.0,0.7,390.6
2022-01-01 14:10:00,226.83,4.0,1.12,205.63,60.01,0.66,390.46
2022-01-01 14:15:00,207.83,4.0,1.02,205.62,60.01,0.62,388.17
2022-01-01 14:20:00,208.97,4.0,1.03,205.63,59.99,0.62,385.93
2022-01-01 14:25:00,297.8,4.0,1.46,205.75,60.0,0.84,395.26
2022-01-01 14:30:00,273.57,4.0,1.34,205.73,59.99,0.78,394.55
2022-01-01 14:35:00,232.13,4.0,1.14,205.8,60.0,0.68,389.96
2022-01-01 14:40:00,189.0,4.0,0.93,205.65,59.98,0.58,385.05
2022-01-01 14:45:00,175.13,4.0,0.86,205.75,60.0,0.54,385.24
2022-01-01 14:50:00,157.4,4.0,0.78,205.61,59.99,0.5,382.95
2022-01-01 14:55:00,146.47,4.0,0.73,205.74,59.99,0.48,381.47
2022-01-01 15:25:00,149.43,4.0,0.74,205.77,59.99,0.48,384.07
2022-01-02 08:40:00,149.03,4.0,0.74,205.91,60.01,0.48,388.19
2022-01-02 08:45:00,152.87,4.0,0.76,205.68,59.98,0.48,388.84
2022-01-02 08:50:00,174.93,4.0,0.86,205.62,59.99,0.54,391.47
2022-01-02 08:55:00,262.03,4.0,1.28,205.77,59.99,0.74,398.7
2022-01-02 09:00:00,273.03,4.0,1.34,205.57,59.98,0.78,398.82
2022-01-02 09:05:00,239.3,4.0,1.18,204.89,59.99,0.68,396.78
2022-01-02 09:10:00,278.87,4.0,1.37,205.06,59.99,0.78,399.85
