Timestamp,Inverter_Status,AC_Power,AC_Current,AC_Voltage,AC_Frequency,DC_Current,DC_Voltage
2023-10-13 08:28:00,4.0,374.67,1.82,207.05,60.0,1.0,411.87
2023-10-13 08:29:00,4.0,400.83,1.95,206.88,60.0,1.04,416.55
2023-10-13 08:30:00,4.0,407.6,1.98,206.88,60.01,1.06,416.56
2023-10-13 08:31:00,4.0,441.67,2.14,207.2,60.02,1.16,416.68
2023-10-13 08:32:00,4.0,484.5,2.35,207.08,59.99,1.26,415.9
2023-10-13 08:33:00,4.0,516.5,2.5,207.13,59.99,1.34,415.8
2023-10-13 08:34:00,4.0,552.0,2.68,206.97,59.99,1.44,414.88
2023-10-13 08:35:00,4.0,573.0,2.78,207.2,60.0,1.48,416.1
2023-10-13 08:36:00,4.0,618.0,3.0,207.12,59.99,1.58,414.88
2023-10-13 08:37:00,4.0,644.17,3.12,207.17,60.0,1.68,412.72
2023-10-13 08:38:00,4.0,689.67,3.34,207.22,60.01,1.76,414.95
2023-10-13 08:39:00,4.0,733.5,3.55,207.28,60.02,1.82,426.22
2023-10-13 08:40:00,4.0,753.0,3.65,207.2,60.01,1.88,425.7
2023-10-13 08:41:00,4.0,816.0,3.95,207.24,60.01,1.94,445.44
2023-10-13 08:42:00,4.0,853.83,4.13,207.25,60.01,2.02,445.05
2023-10-13 08:43:00,4.0,895.67,4.32,207.43,60.01,2.12,443.7
2023-10-13 08:44:00,4.0,934.83,4.51,207.4,60.02,2.24,440.83
2023-10-13 08:45:00,4.0,963.0,4.65,207.3,60.02,2.32,439.6
2023-10-13 08:46:00,4.0,1013.2,4.89,207.44,60.0,2.42,438.48
2023-10-13 08:47:00,4.0,1044.5,5.04,207.48,60.0,2.5,437.97
2023-10-13 08:48:00,4.0,1082.5,5.23,207.45,60.01,2.6,433.88
2023-10-13 08:49:00,4.0,1121.83,5.42,207.45,60.01,2.68,436.0
2023-10-13 08:50:00,4.0,1152.2,5.56,207.46,60.0,2.76,435.7
2023-10-13 08:51:00,4.0,1168.0,5.65,207.43,60.02,2.8,435.73
2023-10-13 08:52:00,4.0,1188.83,5.74,207.37,60.0,2.86,435.22
2023-10-13 08:53:00,4.0,1208.0,5.83,207.43,59.98,2.9,436.32
2023-10-13 08:54:00,4.0,1232.67,5.94,207.78,60.0,2.96,435.7
2023-10-13 08:55:00,4.0,1248.0,6.01,207.7,60.0,3.0,437.0
2023-10-13 08:56:00,4.0,1281.4,6.17,207.74,60.0,3.06,435.54
2023-10-13 08:57:00,4.0,1305.5,6.29,207.72,59.99,3.12,435.4
2023-10-13 08:58:00,4.0,1332.5,6.42,207.73,59.99,3.2,435.55
2023-10-13 08:59:00,4.0,1359.5,6.56,207.67,59.99,3.26,434.58
2023-10-13 09:00:00,4.0,1375.33,6.64,207.47,60.01,3.28,435.63
2023-10-13 09:01:00,4.0,1391.17,6.72,207.23,59.99,3.32,435.12
2023-10-13 09:02:00,4.0,1413.17,6.82,207.47,60.0,3.36,434.92
2023-10-13 09:03:00,4.0,1434.67,6.92,207.52,60.0,3.44,435.57
2023-10-13 09:04:00,4.0,1461.5,7.06,207.52,60.0,3.4,444.75
2023-10-13 09:05:00,4.0,1484.4,7.16,207.54,60.0,3.46,446.78
2023-10-13 09:06:00,4.0,1510.5,7.29,207.38,59.97,3.52,446.6
2023-10-13 09:07:00,4.0,1540.0,7.42,207.62,59.99,3.6,445.97
2023-10-13 09:08:00,4.0,1565.5,7.55,207.52,60.01,3.66,445.3
2023-10-13 09:09:00,4.0,1589.83,7.66,207.52,60.01,3.7,445.05
2023-10-13 09:10:00,4.0,1611.67,7.76,207.58,60.0,3.74,444.95
2023-10-13 09:11:00,4.0,1640.5,7.91,207.55,59.98,3.82,444.63
2023-10-13 09:12:00,4.0,1660.33,8.0,207.58,60.0,3.86,445.3
2023-10-13 09:13:00,4.0,1683.83,8.11,207.55,60.0,3.92,444.88
2023-10-13 09:14:00,4.0,1703.5,8.22,207.3,60.02,3.98,445.42
2023-10-13 09:15:00,4.0,1718.0,8.28,207.5,60.02,4.02,445.3
2023-10-13 09:16:00,4.0,1749.4,8.43,207.74,60.02,4.08,444.74
2023-10-13 09:17:00,4.0,1761.0,8.48,207.82,60.01,4.1,445.68
2023-10-13 09:18:00,4.0,1782.17,8.58,207.88,59.99,4.14,445.28
2023-10-13 09:19:00,4.0,1807.0,8.69,207.9,60.0,4.22,445.48
2023-10-13 09:20:00,4.0,1824.0,8.8,207.6,60.0,4.2,444.2
2023-10-13 09:21:00,4.0,1849.4,8.91,207.62,59.99,4.32,445.4
2023-10-13 09:22:00,4.0,1865.0,8.98,207.77,60.01,4.34,445.42
2023-10-13 09:23:00,4.0,1877.17,9.05,207.53,60.0,4.36,445.57
2023-10-13 09:24:00,4.0,1901.33,9.17,207.5,60.0,4.42,444.88
2023-10-13 09:25:00,4.0,1919.4,9.25,207.66,59.98,4.48,445.64
2023-10-13 09:26:00,4.0,1937.67,9.34,207.62,60.02,4.52,445.83
2023-10-13 09:27:00,4.0,1959.5,9.44,207.7,60.02,4.6,445.43
2023-10-13 09:28:00,4.0,1994.67,9.62,207.48,60.02,4.64,441.98
2023-10-13 09:29:00,4.0,2010.0,9.68,207.75,60.0,4.7,443.9
2023-10-13 09:30:00,4.0,2022.0,9.75,207.5,59.97,4.76,443.2
2023-10-13 09:31:00,4.0,2064.0,9.93,207.92,59.99,4.82,442.86
2023-10-13 09:32:00,4.0,2084.0,10.02,208.15,59.97,4.88,442.02
2023-10-13 09:33:00,4.0,2108.67,10.13,208.27,59.97,4.94,439.9
2023-10-13 09:34:00,4.0,2119.33,10.18,208.2,59.97,4.96,442.98
2023-10-13 09:35:00,4.0,2148.6,10.34,207.92,59.99,5.04,440.5
2023-10-13 09:36:00,4.0,2171.5,10.44,208.1,60.0,5.12,438.88
2023-10-13 09:37:00,4.0,2177.83,10.47,208.15,60.0,5.26,427.43
2023-10-13 09:38:00,4.0,2199.17,10.58,208.03,60.0,5.26,432.35
2023-10-13 09:39:00,4.0,2235.83,10.74,208.07,59.98,5.22,441.73
2023-10-13 09:40:00,4.0,2262.2,10.87,208.26,59.99,5.32,439.8
2023-10-13 09:41:00,4.0,2278.67,10.96,208.05,59.97,5.38,437.47
2023-10-13 09:42:00,4.0,2298.83,11.04,208.32,59.97,5.44,437.6
2023-10-13 09:43:00,4.0,2312.83,11.12,208.07,60.0,5.48,436.05
2023-10-13 09:44:00,4.0,2335.0,11.21,208.37,59.98,5.54,435.72
2023-10-13 09:45:00,4.0,2357.8,11.32,208.38,59.98,5.6,435.76
2023-10-13 09:46:00,4.0,2376.33,11.42,208.23,60.02,5.64,436.03
2023-10-13 09:47:00,4.0,2397.0,11.51,208.25,60.02,5.68,435.52
2023-10-13 09:48:00,4.0,2412.83,11.61,207.87,60.02,5.74,435.65
2023-10-13 09:49:00,4.0,2438.5,11.72,208.03,60.03,5.8,435.67
2023-10-13 09:50:00,4.0,2448.0,11.78,207.98,60.02,5.78,438.46
2023-10-13 09:51:00,4.0,2473.0,11.89,208.03,59.98,5.84,437.05
2023-10-13 09:52:00,4.0,2493.0,11.99,208.0,59.99,5.9,436.95
2023-10-13 09:53:00,4.0,2508.33,11.99,209.25,59.99,5.94,436.8
2023-10-13 09:54:00,4.0,2523.83,12.04,209.68,60.0,5.98,435.2
2023-10-13 09:55:00,4.0,2536.8,12.1,209.62,60.0,6.0,435.44
2023-10-13 09:56:00,4.0,2551.5,12.16,209.92,60.02,6.08,435.6
2023-10-13 09:57:00,4.0,2563.0,12.22,209.78,60.01,6.1,435.95
2023-10-13 09:58:00,4.0,2589.5,12.35,209.75,60.01,6.14,435.65
2023-10-13 09:59:00,4.0,2611.0,12.45,209.58,59.98,6.16,435.35
2023-10-13 10:00:00,4.0,2638.0,12.57,209.86,60.0,6.26,434.8
2023-10-13 10:01:00,4.0,2656.0,12.65,209.93,60.01,6.3,436.07
2023-10-13 10:02:00,4.0,2682.83,12.81,209.72,59.99,6.36,435.58
2023-10-13 10:03:00,4.0,2699.33,12.89,209.57,59.98,6.4,435.25
2023-10-13 10:04:00,4.0,2709.0,12.92,209.65,59.98,6.42,435.4
2023-10-13 10:05:00,4.0,2718.2,12.98,209.48,59.97,6.48,435.46
2023-10-13 10:06:00,4.0,2730.0,13.02,209.77,60.01,6.46,435.7
2023-10-13 10:07:00,4.0,2763.83,13.19,209.6,60.02,6.6,435.23
2023-10-13 10:08:00,4.0,2791.0,13.3,209.9,60.01,6.64,432.2
2023-10-13 10:09:00,4.0,2791.5,13.31,209.97,60.01,6.64,435.38
2023-10-13 10:10:00,4.0,2813.0,13.41,209.84,60.02,6.7,434.06
2023-10-13 10:11:00,4.0,2829.0,13.49,209.9,60.0,6.72,433.47
2023-10-13 10:12:00,4.0,2853.33,13.59,210.0,60.01,6.8,432.5
2023-10-13 10:13:00,4.0,2874.5,13.69,210.03,59.99,6.86,431.18
2023-10-13 10:14:00,4.0,2880.33,13.72,209.88,59.99,6.88,429.45
2023-10-13 10:15:00,4.0,2903.4,13.83,210.02,60.01,6.98,432.28
2023-10-13 10:16:00,4.0,2911.5,13.87,210.02,59.99,6.98,430.03
2023-10-13 10:17:00,4.0,2934.33,13.98,210.02,60.01,7.04,429.52
2023-10-13 10:18:00,4.0,2948.5,14.04,209.98,60.01,7.1,430.47
2023-10-13 10:19:00,4.0,2962.33,14.09,210.27,60.0,7.16,427.4
2023-10-13 10:20:00,4.0,2971.2,14.13,210.34,60.0,7.2,426.16
2023-10-13 10:21:00,4.0,2984.17,14.2,210.3,60.0,7.24,426.45
